storenum;weeknum;saleb1;apriceb1;rpriceb1;promotb1;saleb2;apriceb2;rpriceb2;promotb2;saleb3;apriceb3;rpriceb3;promotb3;saleb4;apriceb4;rpriceb4;promotb4;saleb5;apriceb5;rpriceb5;promotb5;C70
1;1;133;0,680000007;0,800000012;0;145;0,850000024;0,850000024;0;15;0,850000024;0,850000024;0;146;0,689999998;0,689999998;0;43;0,589999974;0,589999974;0;-11
1;2;27;0,670000017;0,800000012;0;126;0,850000024;0,850000024;0;173;0,589999974;0,850000024;1;117;0,689999998;0,689999998;0;16;0,589999974;0,589999974;0;-1
1;3;35;0,699999988;0,800000012;0;150;0,850000024;0,850000024;0;79;0,629999995;0,850000024;0;239;0,589999974;0,689999998;1;43;0,589999974;0,589999974;0;-99
1;4;46;0,709999979;0,800000012;0;297;0,670000017;0,850000024;0;13;0,850000024;0,850000024;0;161;0,589999974;0,689999998;0;36;0,589999974;0,589999974;0;126
1;5;42;0,680000007;0,800000012;0;244;0,670000017;0,850000024;1;31;0,850000024;0,850000024;0;110;0,689999998;0,689999998;0;23;0,589999974;0,589999974;0;124
1;6;52;0,709999979;0,800000012;0;228;0,670000017;0,850000024;1;23;0,850000024;0,850000024;0;127;0,689999998;0,689999998;0;55;0,589999974;0,589999974;0;91
1;7;400;0,670000017;0,800000012;3;176;0,670000017;0,850000024;0;14;0,850000024;0,850000024;0;81;0,689999998;0,689999998;0;55;0,589999974;0,589999974;0;85
1;8;253;0,670000017;0,800000012;0;91;0,850000024;0,850000024;0;23;0,850000024;0,850000024;0;253;0,589999974;0,689999998;1;32;0,589999974;0,589999974;0;-172
1;9;37;0,879999995;0,879999995;0;313;0,629999995;0,860000014;1;22;0,850000024;0,850000024;0;208;0,589999974;0,689999998;0;30;0,589999974;0,589999974;0;95
1;10;26;0,930000007;0,930000007;0;142;0,790000021;0,860000014;0;101;0,689999998;0,850000024;1;168;0,589999974;0,689999998;0;46;0,589999974;0,589999974;0;-36
1;11;353;0,699999988;0,800000012;3;79;0,930000007;0,930000007;0;70;0,709999979;0,850000024;0;71;0,689999998;0,689999998;0;32;0,589999974;0,589999974;0;-2
1;12;125;0,74000001;0,800000012;0;91;0,930000007;0,930000007;0;31;0,850000024;0,850000024;0;109;0,689999998;0,689999998;0;27;0,589999974;0,589999974;0;-28
1;13;35;0,949999988;0,949999988;0;118;0,930000007;0,930000007;0;50;0,850000024;0,850000024;0;145;0,689999998;0,689999998;0;54;0,589999974;0,589999974;0;-37
1;14;32;0,930000007;0,930000007;0;143;0,930000007;0,930000007;0;30;0,850000024;0,850000024;0;136;0,689999998;0,689999998;0;49;0,589999974;0,589999974;0;-3
1;15;49;0,939999998;0,939999998;0;115;0,930000007;0,930000007;0;60;0,850000024;0,850000024;0;124;0,689999998;0,689999998;0;41;0,589999974;0,589999974;0;-19
1;16;28;0,939999998;0,939999998;0;201;0,800000012;0,860000014;1;27;0,930000007;0,930000007;0;166;0,600000024;0,689999998;0;29;0,589999974;0,589999974;0;25
1;17;84;0,810000002;0,810000002;0;192;0,870000005;0,870000005;0;16;0,930000007;0,930000007;0;198;0,600000024;0,689999998;0;79;0,589999974;0,589999974;0;-16
